,Unnamed: 0,path,strain,date,pos,gl,condition,lane_ID,id,parent_id,daughter_type,first_frame,last_frame,end_type,genealogy,frame,vertical_top,vertical_bottom,length_moma,cell_num_in_lane,total_cell_in_lane,length_pixel,fluo_bg_ch_1,fluo_ampl_ch_1,fluo_bg_ch_2,fluo_ampl_ch_2,fluo_bg_ch_3,fluo_ampl_ch_3,fluo_bg_ch_4,fluo_ampl_ch_4,touch_bottom,cid,fluo_background,fluo_amplitude,ndgt,end_type_moma,time_sec,length_um,discard_start,discard_top,cell,gl_id,vertical_center,medium,m_start,m_end,m_cycle,start_time,end_time,b_rank,c_step,acq_freq_sec,autofluo_ch_1,autofluo_ch_2,fluo_ampl_ch_1_nocomp,log_resc_length_moma,cell_,sub_ind
5006,5007,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,271,136,165,1.885,6,8,23.1,4766.18366183067,20206.122687713898,3563.6549263245,6950.854530965799,,,,,0,0BBBBBBBBBBTB,4766.18366183067,21839.3869937477,2,div,54720.0,1.5015,False,False,20191018_0_3_85,20191018.0.3,150.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,21672.7529937477,0.6339278208999741,20191018_0_3_85.0,10.0
5007,5008,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,272,135,165,1.95,6,8,25.1,4981.00934791627,21293.6997173432,3665.0867097384203,7119.2010081866,,,,,0,0BBBBBBBBBBTB,4981.00934791627,22968.231130070602,2,div,55440.0,1.6315,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,22795.8511300706,0.6678293725756554,20191018_0_3_85.0,11.0
5008,5009,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,273,136,165,1.885,6,8,26.1,4888.39662467036,20778.870686506,3570.3727383437104,6700.92054555177,,,,,0,0BBBBBBBBBBTB,4888.39662467036,22359.3989216174,2,div,56160.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,150.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,22192.764921617403,0.6339278208999741,20191018_0_3_85.0,12.0
5009,5010,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,274,136,165,1.885,6,8,24.1,4944.38943478479,19794.7863384505,3577.4853487156606,6546.97903247765,,,,,0,0BBBBBBBBBBTB,4944.38943478479,21342.8329143033,2,div,56880.0,1.5665,False,False,20191018_0_3_85,20191018.0.3,150.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,21176.198914303302,0.6339278208999741,20191018_0_3_85.0,13.0
5010,5011,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,275,135,164,1.885,6,8,25.1,5009.70088134803,19518.894834426297,3588.5654700214704,6512.09139017374,,,,,0,0BBBBBBBBBBTB,5009.70088134803,21059.580117753,2,div,57600.0,1.6315,False,False,20191018_0_3_85,20191018.0.3,149.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,20892.946117753,0.6339278208999741,20191018_0_3_85.0,14.0
5011,5012,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,276,136,165,1.885,6,8,24.1,5003.719999469779,20141.383163893603,3588.66533390674,6521.68583264076,,,,,0,0BBBBBBBBBBTB,5003.719999469779,21684.0928745808,2,div,58320.0,1.5665,False,False,20191018_0_3_85,20191018.0.3,150.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,21517.4588745808,0.6339278208999741,20191018_0_3_85.0,15.0
5012,5013,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,277,136,165,1.885,6,8,26.1,5042.99584490913,20682.8755450568,3580.4062652568896,6569.2536149177295,,,,,0,0BBBBBBBBBBTB,5042.99584490913,22235.622057804398,2,div,59040.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,150.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,22068.9880578044,0.6339278208999741,20191018_0_3_85.0,16.0
5013,5014,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,278,136,166,1.95,6,8,26.1,5149.30956501931,22877.333256255097,3680.33340108279,7002.82555091939,,,,,0,0BBBBBBBBBBTB,5149.30956501931,24527.3094474991,2,div,59760.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,24354.9294474991,0.6678293725756554,20191018_0_3_85.0,17.0
5014,5015,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,279,136,165,1.885,6,8,27.1,5095.66030959622,20563.8110149795,3587.43011891802,6412.185208206489,,,,,0,0BBBBBBBBBBTB,5095.66030959622,22083.4160939111,2,div,60480.0,1.7615,False,False,20191018_0_3_85,20191018.0.3,150.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,21916.7820939111,0.6339278208999741,20191018_0_3_85.0,18.0
5015,5016,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,280,135,164,1.885,6,8,27.1,5085.9575655537,24001.434001929,3559.20103993068,7095.38428900636,,,,,0,0BBBBBBBBBBTB,5085.9575655537,25665.1940869093,2,div,61200.0,1.7615,False,False,20191018_0_3_85,20191018.0.3,149.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,25498.560086909303,0.6339278208999741,20191018_0_3_85.0,19.0
5016,5017,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,281,136,166,1.95,6,8,26.1,5265.2811626147995,23509.397582075497,3691.6458311579604,6777.025675996059,,,,,0,0BBBBBBBBBBTB,5265.2811626147995,25111.729999710697,2,div,61920.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,24939.3499997107,0.6678293725756554,20191018_0_3_85.0,20.0
5017,5018,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,282,136,166,1.95,6,8,23.1,5264.5180048622,23536.7355765086,3697.85269834859,6687.52744535151,,,,,0,0BBBBBBBBBBTB,5264.5180048622,25120.183867477797,2,div,62640.0,1.5015,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,24947.803867477796,0.6678293725756554,20191018_0_3_85.0,21.0
5018,5019,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,283,136,166,1.95,6,8,25.1,5252.59137523995,23513.4566930854,3711.5735771350605,6471.37965859219,,,,,0,0BBBBBBBBBBTB,5252.59137523995,25051.297801048397,2,div,63360.0,1.6315,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,24878.9178010484,0.6678293725756554,20191018_0_3_85.0,22.0
5019,5020,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,284,136,166,1.95,6,8,25.1,5261.18940951336,24243.5083690835,3699.45516318561,6610.27587897348,,,,,0,0BBBBBBBBBBTB,5261.18940951336,25810.6565795469,2,div,64080.0,1.6315,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,25638.2765795469,0.6678293725756554,20191018_0_3_85.0,23.0
5020,5021,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,285,135,165,1.95,6,8,24.1,5271.71595105326,24875.0491526271,3710.49885051185,6538.091108656279,,,,,0,0BBBBBBBBBBTB,5271.71595105326,26426.9663765536,2,div,64800.0,1.5665,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,26254.586376553598,0.6678293725756554,20191018_0_3_85.0,24.0
5021,5022,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,286,135,165,1.95,6,8,27.1,5288.7090239954,25386.460698867202,3687.11519433079,6664.25478381183,,,,,0,0BBBBBBBBBBTB,5288.7090239954,26964.9984582515,2,div,65520.0,1.7615,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,26792.618458251498,0.6678293725756554,20191018_0_3_85.0,25.0
5022,5023,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,287,135,165,1.95,6,8,26.1,5256.80452505779,26781.699121420697,3689.43669695471,6809.437924614929,,,,,0,0BBBBBBBBBBTB,5256.80452505779,28390.870523514503,2,div,66240.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,28218.4905235145,0.6678293725756554,20191018_0_3_85.0,26.0
5023,5024,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,288,136,166,1.95,6,8,23.1,5201.60581603832,28317.7924352596,3678.3675842343396,7308.752188834971,,,,,0,0BBBBBBBBBBTB,5201.60581603832,30032.319147103797,2,div,66960.0,1.5015,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,29859.9391471038,0.6678293725756554,20191018_0_3_85.0,27.0
5024,5025,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,289,136,166,1.95,6,8,25.1,5274.39535710711,25978.9111398733,3683.5539049132,6513.79795743318,,,,,0,0BBBBBBBBBBTB,5274.39535710711,27525.7025088917,2,div,67680.0,1.6315,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,27353.3225088917,0.6678293725756554,20191018_0_3_85.0,28.0
5025,5026,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,290,135,165,1.95,6,8,26.1,5266.71065373787,26550.583376988398,3695.46787415693,6508.81662923615,,,,,0,0BBBBBBBBBBTB,5266.71065373787,28096.3236857572,2,div,68400.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,27923.943685757204,0.6678293725756554,20191018_0_3_85.0,29.0
5026,5027,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,291,136,166,1.95,6,8,26.1,5232.81780397199,26887.205249036,3678.9498489031603,6718.402765050911,,,,,0,0BBBBBBBBBBTB,5232.81780397199,28477.1682324617,2,div,69120.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,28304.7882324617,0.6678293725756554,20191018_0_3_85.0,30.0
5027,5028,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,292,136,166,1.95,6,8,26.1,5208.03523267171,26940.388895248198,3688.7234783300396,6592.50197620903,,,,,0,0BBBBBBBBBBTB,5208.03523267171,28503.7868122283,2,div,69840.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,28331.406812228302,0.6678293725756554,20191018_0_3_85.0,31.0
5028,5029,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,293,135,165,1.95,6,8,24.1,5246.83106588275,25923.073861493598,3695.21773528906,6636.16045339312,,,,,0,0BBBBBBBBBBTB,5246.83106588275,27495.683717159503,2,div,70560.0,1.5665,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,27323.303717159502,0.6678293725756554,20191018_0_3_85.0,32.0
5029,5030,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,294,135,164,1.885,6,8,28.1,5092.218451353279,25046.435753389702,3562.57910789383,6340.33344281464,,,,,0,0BBBBBBBBBBTB,5092.218451353279,26550.8801098236,2,div,71280.0,1.8265,False,False,20191018_0_3_85,20191018.0.3,149.5,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,166.63400000000001,130.2535,26384.246109823598,0.6339278208999741,20191018_0_3_85.0,33.0
